Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
50	1114-1-34	Lomstj?rni	50	1114-1-34	6.0846	58.6739	3.01	1833	5.93	0.07	10.7	0	0.7	0	2.1	86.5	2.3	0.5
51	1122-1-9	Kr?j?rni	51	1122-1-9	6.1126	58.74	1.73	2270	4.7	0.06	3.4	0	1.4	0	0.7	94.5	3.5	0.5
52	1129-1-13	Tvaravatnet	52	1129-1-13	6.3111	59.0394	0.27	2609	8.83	0.05	0	0	0	0	0	100	18.7	0.63
53	1201-1-23	HOH 60	53	1201-1-23	5.2635	60.3273	0.27	2094	4.47	0.06	37	0	3.7	0	0	59.3	22.5	0.5
54	1201-1-32	Brekkevatnet	54	1201-1-32	5.5915	60.3455	0.23	3712	5.62	0.04	12	0	0	0	0	88	17.1	0.5
55	1228-1-16	1230 HOH	55	1228-1-16	7.0211	59.7764	0.89	2804	6.38	0.08	0	0	0	0	2.9	97.1	9	0.5
56	1228-2-4	Juklevatni	56	1228-2-4	7.0169	60.0617	3.18	2255	8.74	0.36	0	0	0	1	1.4	97.6	11.3	0.5
57	1231-1-41	HOH 1092	57	1231-1-41	6.4912	60.2941	3.36	2949	15.68	0.09	0	0	0	2.6	3.9	93.5	2.7	0.5
58	1235-1-6	Rundatj?rni	58	1235-1-6	6.3022	60.5711	0.36	2522	3.28	0.06	0	0	0	0	0	100	16.6	0.5
59	1235-1-17	Rennebergstj?rni	59	1235-1-17	6.225	60.7647	0.18	3575	8.21	0.04	0	0	0	0	0	100	22.8	0.52
60	1263-3-10	Husdalsvatnet	60	1263-3-10	5.4946	60.6355	8.54	2835	26.81	1.02	43.8	0	0.2	0	0.9	55.1	11.9	1.13
61	1266-1-25	Stemmevatnet	61	1266-1-25	5.3252	60.8619	0.16	3199	10.07	0.04	36.4	0	0	0	0	63.6	24.3	0.76
62	1266-1-43	HOH 816	62	1266-1-43	5.8128	60.9299	3.78	4253	7.23	0.07	0	0	0	0	14.7	85.3	1.9	0.5
63	1401-1-35	Rundedalsvatnet	63	1401-1-35	5.2019	61.6631	0.65	3639	4.7	0.04	0	0	0	0	2.7	97.3	6.1	0.5
64	1411-2-17	Holmevatnet	64	1411-2-17	5.3974	60.9714	0.5	3966	4.76	0.11	0	0	5.8	0	0	94.2	22.2	0.5
65	1411-2-34	Botnavatnet	65	1411-2-34	5.395	60.986	1.54	3834	10.27	0.14	0.7	0	1.4	0	1.4	96.5	9.1	0.5
66	1416-1-5	HOH 1110	66	1416-1-5	5.9641	61.0224	0.33	3357	7.31	0.04	0	0	0	0	3.1	96.9	12	0.5
67	1416-2-6	Bl?jellvatnet	67	1416-2-6	5.7658	61.0234	1.37	2958	16.07	0.35	0	0	0	0	1.5	98.5	25.6	1.39
68	1421-1-34	HOH 1530	68	1421-1-34	7.6396	60.8545	0.83	1596	4.41	0.06	0	0	0	0	0	100	7.2	0.5
69	1426-2-29	Krongeltj?rni	69	1426-2-29	7.9304	61.5686	0.47	1678	2.84	0.13	0	0	0	0	6.7	93.3	27.4	0.5
70	1429-3-22	Langesj?en	70	1429-3-22	5.1643	61.2797	8.34	2621	13.91	1.18	77	0	0.8	0	0.8	21.4	14.2	0.75
71	1432-2-20	Steinbotsvatna	71	1432-2-20	6.4055	61.3537	14.92	2958	11.66	0.28	0	0	0	2.2	2.2	95.6	1.9	0.5
72	1433-1-30	Einevollsvatnet	72	1433-1-30	5.5819	61.4797	2.72	2861	8.12	0.05	31.6	0	2.1	0	0	66.3	1.8	0.5
73	1438-1-16	HOH 770	73	1438-1-16	5.3046	61.6852	0.46	4511	10.15	0.06	0	0	0	0	0	100	13	0.5
74	1534-2-5	St. Hestevatn	74	1534-2-5	6.4018	62.5932	3.54	2277	13.72	0.52	8.3	0	8.3	0	0	83.4	14.7	0.88
75	1539-3-3	Ulv?alsvatnet	75	1539-3-3	7.9124	62.2454	101.74	953	5.54	2.18	4.6	0	0.4	2.9	1.8	90.3	2.1	0.5
76	1543-2-8	R?ndalskarvatn	76	1543-2-8	8.0792	62.6104	6.99	1832	10.97	0.19	0	0	0	15.5	1.7	82.8	2.7	0.5
